2021-02-22T17:14:54.748Z [AUDIT] Token created by 'anonymous': tokenId='f1e1b252-7b44-4d81-b404-d626ed932b00', issuer='jfrou@01ez5bs3r314xmq2cc5j3k7vn8', subject='jfrou@01ez5bs3r314xmq2cc5j3k7vn8', expiry=none, refreshable=false
2021-02-22T17:14:56.033Z [AUDIT] Token created by 'anonymous': tokenId='23e5d120-4bc7-46b7-8cbb-d3cdca89c824', issuer='jfac@01ez5brynwf90j101b6e1x19gb', subject='jfac@01ez5brynwf90j101b6e1x19gb', expiry=1614014216018, refreshable=false
2021-02-22T17:14:56.194Z [AUDIT] Token created by 'anonymous': tokenId='45796147-a972-4438-bf61-2cd025811fb4', issuer='jfac@01ez5brynwf90j101b6e1x19gb', subject='jfac@01ez5brynwf90j101b6e1x19gb', expiry=1614014216192, refreshable=false
2021-02-22T17:14:56.427Z [AUDIT] Token created by 'anonymous': tokenId='56f846a3-159f-4a3b-9611-9ac270ed30fc', issuer='jfac@01ez5brynwf90j101b6e1x19gb', subject='jfac@01ez5brynwf90j101b6e1x19gb', expiry=1614014216423, refreshable=false
2021-02-22T17:14:56.862Z [AUDIT] Token created by 'anonymous': tokenId='5b7d68fb-6f21-471e-846b-312901f00ff1', issuer='jfac@01ez5brynwf90j101b6e1x19gb', subject='jfac@01ez5brynwf90j101b6e1x19gb', expiry=1614014216858, refreshable=false
2021-02-22T17:14:57.684Z [AUDIT] Token created by 'anonymous': tokenId='3639d26f-df26-48c9-9543-56b02d2814a5', issuer='jfac@01ez5brynwf90j101b6e1x19gb', subject='jfac@01ez5brynwf90j101b6e1x19gb', expiry=1614014217682, refreshable=false
2021-02-22T17:14:58.260Z [AUDIT] Token created by 'anonymous': tokenId='84301911-a0ca-4284-ad8f-883f4c10e3e4', issuer='jfevt@01ez5brynwf90j101b6e1x19gb', subject='jfevt@01ez5brynwf90j101b6e1x19gb', expiry=none, refreshable=false
2021-02-22T17:14:58.330Z [AUDIT] Token created by 'jfevt@01ez5brynwf90j101b6e1x19gb': tokenId='087ee5a9-35e0-4ab6-8969-aca743f01f6c', issuer='jfevt@01ez5brynwf90j101b6e1x19gb', subject='jfevt@01ez5brynwf90j101b6e1x19gb', expiry=1614100498325, refreshable=true
2021-02-22T17:14:58.332Z [AUDIT] Token created by 'jfevt@01ez5brynwf90j101b6e1x19gb': tokenId='c9ba6b82-97dc-4082-ab38-081e22b57575', issuer='jfevt@01ez5brynwf90j101b6e1x19gb', subject='jfevt@01ez5brynwf90j101b6e1x19gb', expiry=1614100498326, refreshable=true
2021-02-22T17:14:58.351Z [AUDIT] Token created by 'jfevt@01ez5brynwf90j101b6e1x19gb': tokenId='8ff97834-bbeb-41ce-a202-f1c0b996ab6e', issuer='jfevt@01ez5brynwf90j101b6e1x19gb', subject='jfevt@01ez5brynwf90j101b6e1x19gb', expiry=1614100498348, refreshable=true
2021-02-22T17:14:58.474Z [AUDIT] Token created by 'jfevt@01ez5brynwf90j101b6e1x19gb': tokenId='d355bdf1-56a9-4df2-bea7-914c1f5097cc', issuer='jfevt@01ez5brynwf90j101b6e1x19gb', subject='jfevt@01ez5brynwf90j101b6e1x19gb', expiry=1614100498376, refreshable=true
2021-02-22T17:14:58.598Z [AUDIT] Token created by 'anonymous': tokenId='15979d85-7980-40d2-8764-55582a920dc5', issuer='jfmd@01ez5bs5y2qpwy0sj9ah4cpd6z', subject='jfmd@01ez5bs5y2qpwy0sj9ah4cpd6z', expiry=none, refreshable=false
2021-02-22T17:15:04.575Z [AUDIT] Token created by 'anonymous': tokenId='522d729e-13db-4edb-a1d0-8d1b85c688d0', issuer='jfrt@01ez5bsggjc7h01x9d4aqs0mc0', subject='jfrt@01ez5bsggjc7h01x9d4aqs0mc0', expiry=none, refreshable=false
2021-02-22T17:15:06.007Z [AUDIT] Token created by 'jfrt@01ez5bsggjc7h01x9d4aqs0mc0': tokenId='c546dafd-94cd-48e1-9f70-48bf3cf87a13', issuer='jfrt@01ez5bsggjc7h01x9d4aqs0mc0', subject='jfrt@01ez5bsggjc7h01x9d4aqs0mc0', expiry=2560094106005, refreshable=false
2021-02-22T17:15:14.110Z [AUDIT] Token created by 'anonymous': tokenId='c3a8cf2d-6848-41e8-a2f4-c600486fad3e', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-02-22T17:15:14.167Z [AUDIT] Token created by 'jffe@000': tokenId='350b1d9b-3c53-4ca6-9f05-f0f0e39d7c8c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614014714167, refreshable=false
2021-02-22T17:23:42.962Z [AUDIT] Token created by 'jffe@000': tokenId='72a8514f-c96a-41b5-b22a-7c9d6a9ab753', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614015222962, refreshable=false
2021-02-22T17:23:42.964Z [AUDIT] Token created by 'jffe@000': tokenId='71aeb2aa-c08c-441c-a483-46b8c4582820', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614015222964, refreshable=false
2021-02-22T17:23:42.964Z [AUDIT] Token created by 'jffe@000': tokenId='bc80e137-1c24-4956-9804-fbc7d96e942f', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614015222964, refreshable=false
2021-02-22T17:23:42.975Z [AUDIT] Token created by 'jffe@000': tokenId='01339055-ddd1-4182-a6f1-1470a2ab80ee', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614015222975, refreshable=false
2021-02-22T17:25:16.535Z [AUDIT] Token created by 'jffe@000': tokenId='c9d94ac8-0df8-439b-8e33-bde0eac544ff', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614015316534, refreshable=false
2021-02-22T17:25:16.538Z [AUDIT] Token created by 'jffe@000': tokenId='65d27456-071e-4ea6-a157-aa38268f6c2c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614015316538, refreshable=false
2021-02-22T17:25:16.539Z [AUDIT] Token created by 'jffe@000': tokenId='379fe869-ef50-4220-b028-d9e7584f4a65', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614015316539, refreshable=false
2021-02-22T17:25:16.539Z [AUDIT] Token created by 'jffe@000': tokenId='8cca2b2e-9cf5-406a-afd3-c850dba828b0', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614015316539, refreshable=false
2021-02-22T17:28:13.089Z [AUDIT] Token created by 'jffe@000': tokenId='1c695dfe-53ed-4f20-8bb1-6abbbb7c7524', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614016693087, refreshable=true
2021-02-22T17:28:13.183Z [AUDIT] Token created by 'jffe@000': tokenId='310487a8-27a3-44e9-91b7-688d1c860f51', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614015493183, refreshable=false
2021-02-22T17:28:13.183Z [AUDIT] Token created by 'jffe@000': tokenId='09a5ac48-edc7-4a0c-9d9b-19d3db0f17e3', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614015493183, refreshable=false
2021-02-22T17:28:13.199Z [AUDIT] Token created by 'jffe@000': tokenId='8c290d5b-ca14-40fb-9662-9d6a1ef09898', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614015493199, refreshable=false
2021-02-22T17:35:16.605Z [AUDIT] Token created by 'jffe@000': tokenId='4a975e61-51d1-4b2b-9e92-98d300ba18c0', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614015916605, refreshable=false
2021-02-22T17:35:16.606Z [AUDIT] Token created by 'jffe@000': tokenId='7e321aba-6430-48f4-8c62-ae5d9e579390', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614015916606, refreshable=false
2021-02-22T17:35:16.606Z [AUDIT] Token created by 'jffe@000': tokenId='83c3f91e-d879-4944-9a18-202a43b1e74c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614015916606, refreshable=false
2021-02-22T17:35:16.608Z [AUDIT] Token created by 'jffe@000': tokenId='999d0fae-cb56-4ab4-93cd-1aebc35e5085', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614015916608, refreshable=false
2021-02-22T17:36:29.109Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='1c695dfe-53ed-4f20-8bb1-6abbbb7c7524', tokenId='9da1b427-73b7-4702-be9f-7b06b9185ca1', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614017189101, refreshable=true
2021-02-22T17:38:13.475Z [AUDIT] Token created by 'jffe@000': tokenId='43055c95-777a-435d-a914-232935412d47', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614016093475, refreshable=false
2021-02-22T17:45:16.739Z [AUDIT] Token created by 'jffe@000': tokenId='df86d653-f3ab-4eb8-a3c8-bcbe3d32f2ed', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614016516739, refreshable=false
2021-02-22T17:45:16.740Z [AUDIT] Token created by 'jffe@000': tokenId='d3f16eee-4632-427b-aa9d-4d11ccee44e1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614016516740, refreshable=false
2021-02-22T17:45:16.743Z [AUDIT] Token created by 'jffe@000': tokenId='df006a0f-922b-4d24-849c-4120f51eacee', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614016516743, refreshable=false
2021-02-22T17:45:16.743Z [AUDIT] Token created by 'jffe@000': tokenId='721d7453-081c-4e7c-b0e9-df12466ce337', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614016516743, refreshable=false
2021-02-22T17:48:13.736Z [AUDIT] Token created by 'jffe@000': tokenId='643fb0c1-a5de-48ed-8593-a9a2616a4f88', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614016693736, refreshable=false
2021-02-22T17:52:39.557Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='9da1b427-73b7-4702-be9f-7b06b9185ca1', tokenId='16fa8612-e0a1-4d3a-aced-112db21742d9', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614018159548, refreshable=true
2021-02-22T17:54:50.864Z [AUDIT] Token created by 'jffe@000': tokenId='9e081b83-27fe-4e60-b7a9-5d1ea878da12', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614017090864, refreshable=false
2021-02-22T17:55:16.815Z [AUDIT] Token created by 'jffe@000': tokenId='546de935-24cc-491e-89b4-ad9b21165dbe', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614017116815, refreshable=false
2021-02-22T17:55:16.815Z [AUDIT] Token created by 'jffe@000': tokenId='735497f9-9568-4b39-984d-60c1cabfad03', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614017116815, refreshable=false
2021-02-22T17:55:16.816Z [AUDIT] Token created by 'jffe@000': tokenId='ebbe1af0-b876-401d-bd1b-29f2bec79418', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614017116816, refreshable=false
2021-02-22T17:55:16.818Z [AUDIT] Token created by 'jffe@000': tokenId='b8ed7621-bb36-413b-bff1-cfc6c5e28745', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614017116818, refreshable=false
2021-02-22T17:57:51.035Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='16fa8612-e0a1-4d3a-aced-112db21742d9', tokenId='716b75f0-e0ce-4b80-aaaa-ae0c7015ce5a', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614018471029, refreshable=true
2021-02-22T17:58:13.738Z [AUDIT] Token created by 'jffe@000': tokenId='1dde9371-2ddf-4d3b-b2fe-4009f87062ef', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614017293738, refreshable=false
2021-02-22T18:05:16.893Z [AUDIT] Token created by 'jffe@000': tokenId='a020df32-f047-4030-9213-288a77ca8795', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614017716893, refreshable=false
2021-02-22T18:05:16.893Z [AUDIT] Token created by 'jffe@000': tokenId='50bc6be5-a31a-4af3-922a-cf20c906837c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614017716893, refreshable=false
2021-02-22T18:05:16.893Z [AUDIT] Token created by 'jffe@000': tokenId='8ee150ad-5056-4552-a243-366367411a67', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614017716893, refreshable=false
2021-02-22T18:05:16.902Z [AUDIT] Token created by 'jffe@000': tokenId='f3db71fa-8e16-4ac3-9cc7-2c054ce60483', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614017716901, refreshable=false
2021-02-22T18:09:11.674Z [AUDIT] Token created by 'jffe@000': tokenId='71b691a2-334d-4922-9804-97580962cdb9', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614017951674, refreshable=false
2021-02-22T18:12:03.866Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='716b75f0-e0ce-4b80-aaaa-ae0c7015ce5a', tokenId='67dea9da-cf83-49aa-9345-a8dfca440c97', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614019323860, refreshable=true
2021-02-22T18:12:12.979Z [AUDIT] Token created by 'jffe@000': tokenId='e7e3a5e9-0fac-4d1d-a1a3-ce0f7d2c2996', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614018132979, refreshable=false
2021-02-22T18:15:16.961Z [AUDIT] Token created by 'jffe@000': tokenId='d05bb3f6-452c-4834-abca-67534473850a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614018316960, refreshable=false
2021-02-22T18:15:16.961Z [AUDIT] Token created by 'jffe@000': tokenId='094f71ee-663b-4a92-b91e-f0f6bcd3f546', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614018316960, refreshable=false
2021-02-22T18:15:16.962Z [AUDIT] Token created by 'jffe@000': tokenId='d9953e27-4732-4fa3-b81e-45385039def8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614018316962, refreshable=false
2021-02-22T18:15:16.968Z [AUDIT] Token created by 'jffe@000': tokenId='be497f85-1117-46d9-b964-3447c40bc0ce', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614018316968, refreshable=false
2021-02-22T18:17:29.436Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='67dea9da-cf83-49aa-9345-a8dfca440c97', tokenId='1d67bc3a-4a1e-4dab-af45-e6ecd1ee2043', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614019649431, refreshable=true
2021-02-22T18:19:28.734Z [AUDIT] Token created by 'jffe@000': tokenId='b21a5162-e6b0-4ee3-8607-8aed6c0c4735', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614018568734, refreshable=false
2021-02-22T18:22:50.612Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='1d67bc3a-4a1e-4dab-af45-e6ecd1ee2043', tokenId='e1f72f59-3c64-49c7-82fc-23c9e2caf43f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614019970608, refreshable=true
2021-02-22T18:25:17.011Z [AUDIT] Token created by 'jffe@000': tokenId='d5ff1747-4890-41dc-b993-a9431ae0b315', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614018917011, refreshable=false
2021-02-22T18:25:17.011Z [AUDIT] Token created by 'jffe@000': tokenId='d6ea1dcb-db55-45a9-8e11-eae484b6a08b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614018917011, refreshable=false
2021-02-22T18:25:17.014Z [AUDIT] Token created by 'jffe@000': tokenId='c8dd1524-7811-4c7f-8aba-6c67e4e4ac6d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614018917014, refreshable=false
2021-02-22T18:25:17.018Z [AUDIT] Token created by 'jffe@000': tokenId='93062264-5a5c-4190-9141-efaf729b6d21', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614018917018, refreshable=false
2021-02-22T18:26:05.124Z [AUDIT] Token created by 'jffe@000': tokenId='acf27048-47e2-4c37-938b-bd95b8379b33', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614018965124, refreshable=false
2021-02-22T18:28:14.967Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='e1f72f59-3c64-49c7-82fc-23c9e2caf43f', tokenId='c1afaaa1-7f75-4d87-8ce7-4ee5f809313f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614020294957, refreshable=true
2021-02-22T18:29:28.747Z [AUDIT] Token created by 'jffe@000': tokenId='d095936b-9c23-4315-ad66-a3f445f1358c', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614019168747, refreshable=false
2021-02-22T18:32:25.100Z [AUDIT] Token revoked by 'jffe@000': tokenId='c1afaaa1-7f75-4d87-8ce7-4ee5f809313f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614020294957, refreshable=true
2021-02-22T18:32:25.211Z [AUDIT] Token created by 'jffe@000': tokenId='57bbac97-c58c-4851-b245-0bb0f7c0b61f', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614019345211, refreshable=false
2021-02-22T18:32:25.213Z [AUDIT] Token created by 'jffe@000': tokenId='fb6b213e-2c71-42da-9686-5c5c6d18ff03', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614019345213, refreshable=false
2021-02-22T18:32:25.214Z [AUDIT] Token created by 'jffe@000': tokenId='0e1324f8-bc4a-48c8-8fe0-9f486e70fac9', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614019345210, refreshable=false
2021-02-22T18:32:25.225Z [AUDIT] Token created by 'jffe@000': tokenId='73cea8d2-9ddb-40ad-a957-7832274b9908', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614019345225, refreshable=false
2021-02-22T18:32:31.979Z [AUDIT] Token created by 'jffe@000': tokenId='522712f4-1a3b-428e-89f4-a17fbed4f7f8', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1614020551975, refreshable=true
2021-02-22T18:32:32.023Z [AUDIT] Token created by 'jffe@000': tokenId='d85075e5-cf8b-405e-acca-fd39fed59025', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1614019352023, refreshable=false
2021-02-22T18:32:39.642Z [AUDIT] Token revoked by 'jffe@000': tokenId='522712f4-1a3b-428e-89f4-a17fbed4f7f8', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1614020551975, refreshable=true
2021-02-22T18:32:43.497Z [AUDIT] Token created by 'jffe@000': tokenId='fa818a7b-ec9c-4097-a51c-89de6717d4c5', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614020563494, refreshable=true
2021-02-22T18:32:43.559Z [AUDIT] Token created by 'jffe@000': tokenId='85a860af-1f9a-46e4-9128-6e737220c67f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614019363559, refreshable=false
2021-02-22T18:32:43.564Z [AUDIT] Token created by 'jffe@000': tokenId='7f4e10b0-b046-46f1-9c33-b534bcd319e2', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614019363564, refreshable=false
2021-02-22T18:32:43.576Z [AUDIT] Token created by 'jffe@000': tokenId='c2ec548b-d804-4259-9b4b-571cc47d9349', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614019363576, refreshable=false
2021-02-22T18:35:17.175Z [AUDIT] Token created by 'jffe@000': tokenId='21fdb3b2-fc1b-4456-a00c-3cc70f27de91', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614019517175, refreshable=false
2021-02-22T18:35:17.175Z [AUDIT] Token created by 'jffe@000': tokenId='d49c3530-ef21-4b9c-9364-55c4006853ef', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614019517175, refreshable=false
2021-02-22T18:35:17.175Z [AUDIT] Token created by 'jffe@000': tokenId='4e22b436-73fe-4cda-81a9-468bd7910e7e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614019517175, refreshable=false
2021-02-22T18:35:17.175Z [AUDIT] Token created by 'jffe@000': tokenId='2a4fd1b3-e357-4bf9-bbaf-0f62ae49a11f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614019517175, refreshable=false
2021-02-22T18:38:12.020Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='fa818a7b-ec9c-4097-a51c-89de6717d4c5', tokenId='fe47b955-ab94-4ce9-82b1-e231bc0270cc', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614020892016, refreshable=true
2021-02-22T18:38:44.069Z [AUDIT] Token revoked by 'jffe@000': tokenId='fe47b955-ab94-4ce9-82b1-e231bc0270cc', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614020892016, refreshable=true
2021-02-22T18:38:52.564Z [AUDIT] Token created by 'jffe@000': tokenId='6a7ceb2e-6c94-428d-b980-7e9c1233c459', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1614020932562, refreshable=true
